cohort,cohort_role,condition,raw_condition,episodes,successes,success_rate,wilson95_low,wilson95_high,model_calls_mean,model_calls_median,model_inference_time_mean_s,model_inference_time_median_s,wall_time_mean_s,wall_time_median_s,chunk_utilization_episode_mean,chunk_utilization_aggregate,actual_trigger_events,rescues,losses,no_change_trigger_events,result_git_sha,manifest_sha256,summary_sha256
parity-corrected-development,development,Static-H1,Static-H1-original,50,33,0.66,0.521538260502326,0.7756305077749992,162.48,122.0,137.6510526573202,90.23071680399153,248.8154270924,190.92835164849976,0.02,0.02,0,0,0,0,b5cbf91a7c1a47ac48b7d30ed318ecd2ea252d1a,934a4887e2ddea7703d43db727b3c66416652b3cd3806e77ed0a526bca1d44f2,4b748e8af38478d58ef7b8ede182ef48ea230a160e4a151032fb16a5e088adab
parity-corrected-development,development,Static-H10,Static-H10,50,30,0.60,0.4618143774758936,0.7239161026974346,17.48,12.5,9.841249106839944,7.345041164999657,61.39959663257998,47.711044088999984,0.19444266511266511,0.19677345537757437,0,0,0,0,b5cbf91a7c1a47ac48b7d30ed318ecd2ea252d1a,934a4887e2ddea7703d43db727b3c66416652b3cd3806e77ed0a526bca1d44f2,34626c33f9ee0b94c3c76005d5c6fe91adf87686ce0e1238fe46506977add45d
parity-corrected-development,development,Static-H20,Static-H20,50,32,0.64,0.501410168761127,0.7586125034815325,8.66,6.0,5.740784678299987,4.365880092000225,54.56900583576002,42.518831918999695,0.3771526406926407,0.38498845265588916,0,0,0,0,b5cbf91a7c1a47ac48b7d30ed318ecd2ea252d1a,934a4887e2ddea7703d43db727b3c66416652b3cd3806e77ed0a526bca1d44f2,a8e845e391c2ee3280acbbfde28510d97f206d05cb30f8fa45016f2bec526b1c
parity-corrected-development,development,Adaptive-v1-H20→H1,Adaptive-H20→H1,50,31,0.62,0.4815044693099298,0.7413721068980641,9.08,7.0,5.942283194379924,4.638611967998713,55.42974813791998,43.61741950750002,0.3703554978354978,0.37572687224669604,7,0,1,6,b5cbf91a7c1a47ac48b7d30ed318ecd2ea252d1a,934a4887e2ddea7703d43db727b3c66416652b3cd3806e77ed0a526bca1d44f2,a8e845e391c2ee3280acbbfde28510d97f206d05cb30f8fa45016f2bec526b1c
untouched-heldout-confirmatory,confirmatory,Static-H20,Static-H20,50,33,0.66,0.521538260502326,0.7756305077749992,8.32,6.0,5.5583157979399855,4.053747751999708,50.872430275559964,41.22612922549956,0.3817295238095238,0.38798076923076924,0,0,0,0,a9afdc0b4feee120f5c3c71f22d84c691ed85ba6,2156db1ca5fe906e3f1a7ebb76d6ff62f1521456a6e1550c4aab2737e65fc357,e7aa53cc58addedf2b3e5817190e5a5b2ae3fb320da94a65da32d6d70e8d6ac9
untouched-heldout-confirmatory,confirmatory,Adaptive-v2a-H20→H1,Adaptive-v2a-H20→H1,50,33,0.66,0.521538260502326,0.7756305077749992,8.36,6.0,5.6760197874001825,4.082810471998982,53.5578852923,43.927574043500044,0.3807295238095238,0.3861244019138756,1,0,0,1,a9afdc0b4feee120f5c3c71f22d84c691ed85ba6,2156db1ca5fe906e3f1a7ebb76d6ff62f1521456a6e1550c4aab2737e65fc357,e7aa53cc58addedf2b3e5817190e5a5b2ae3fb320da94a65da32d6d70e8d6ac9
