quant_method,scope,num_steps,mean_ms,p95_ms,peak_allocated_mb,param_bytes_mb
none,all,10,400.35,612.1,1280.757248,1217.9
none,all,5,249.28,278.59,1280.757248,1217.9
none,all,2,144.57,189.36,1280.757248,1217.9
int8_groupwise,language,10,389.5,404.3,992.856064,929.4
int8_groupwise,language,5,227.1,231.85,992.856064,929.4
int8_groupwise,language,2,133.25,149.22,992.856064,929.4
int8_groupwise,backbone,10,445.13,558.13,962.84416,835.9
int8_groupwise,backbone,2,142.93,148.52,962.84416,835.9
mixed,mixed,2,179.21,225.26,960.075264,787.5
