chunk_size,status,strict_load,output_shape,finite,median_latency_ms,mean_latency_ms,p95_latency_ms,c50_prefix_allclose,prefix_comparisons,max_abs_difference,max_rmse
1,completed,1,1x1x7,1,473.155521,480.74597296666667,591.00509975,0,3,0.0009753704071044922,0.0004754393318217751
10,completed,1,1x10x7,1,461.5604895,470.5064141666666,546.4029981,0,3,0.0015849471092224121,0.0004071416078930181
20,completed,1,1x20x7,1,487.4635975,501.17202449999996,576.20982535,0,3,0.0019507408142089844,0.00035371842235592437
25,completed,1,1x25x7,1,530.426633,536.2489857666667,699.7468455499999,0,3,0.0012192130088806152,0.00034382140027585317
30,completed,1,1x30x7,1,592.7088675,650.2049562666667,1029.3243228000001,0,3,0.0011430978775024414,0.00031011422224117875
50,completed,1,1x50x7,1,476.41799149999997,489.08602890000003,585.1452721999999,1,3,0.0,0.0
